id;Nazionalità;Nome
1;American;Robert Arneson
2;Spanish;Doroteo Arnaiz
3;American;Bill Arnold
4;American;Charles Arnoldi
5;Danish;Per Arnoldi
6;Italian;Danilo Aroldi
7;American;Bill Aron
9;American;David Aronson
10;American;Irene Aronson
11;French;Jean  Arp
12;Estonian;Jüri Arrak
13;Mexican;J. Arrelano Fischer
15;Swedish;Folke Arstrom
16;Spanish;Cristobal Arteche
18;Sconosciuta;Artko
19;American;Richard Artschwager
21;American;Ruth Asawa
22;Israeli;Isidora Aschheim
23;British;Charles Robert Ashbee
24;American;Donald Ashcraft
25;American;E. M. Ashe
26;Swedish;Göran Åslin
27;Swedish;Erik Gunnar Asplund
28;French;Geneviève Asse
30;Italian;Sergio Asti
31;American;Dana Atchley
32;French;Atelier Eggers
33;American;A.A.P.
34;Finnish;Alvar Aalto
35;Finnish;Aino Aalto
36;Finnish;Eero Aarnio
37;American;Jules Aarons
38;Polish;Magdalena Abakanowicz
39;American;James Abbe
40;Palestinian;Jussuf Abbo
41;American;Berenice Abbott
42;Japanese;Nobuya Abe
43;Japanese;Abe Shiro 
44;American;Robert Abel
46;American;Sigmund Abeles
47;American;Raimund Abraham
49;British;Ivor Abrahams
50;British;Gerald Abramovitz
51;American;William Ross Abrams
52;Guatemalan;Rodolfo Abularach
53;American;Vito Acconci
54;American;Milton Ackoff
55;British;Norman Ackroyd
56;Colombian;Luis Alberto Acuña
57;French;Henri Georges Adam
58;French;Antoine Samuel Adam-Salomon
59;Italian;Valerio Adami
60;American;Ansel Adams
61;American;Alice Adams
62;American;Clinton Adams
63;British;Dacres Adams
64;American;Dennis Adams
65;American;Kenneth M. Adams
66;American;Robert Adams
67;American;Shelby Lee Adams
68;American;Charles Addams
69;American;Allan Adler
70;Polish;Jankel Adler
71;American;Virginia Admiral
72;Romanian;Pic Adrian
74;British;Roy Adzak
76;American;Nicholas Africano
77;Italian;Afro 
78;Russian;Aftograf
79;Israeli;Agam 
80;American;Mehemed Fehmy Agha
81;American;Kathleen Agnoli
82;American;Peter Agostini
83;French;Olympe Aguado de las Marismas
84;American;Dongkuk S. Ahn
85;Finnish;Aarne Aho
86;German;Otl Aicher 
87;American;Lucien Aigner
88;American;Gregory Ain
89;British;Edgar Ainsworth
91;Argentine;Roberto Aizenberg
92;Japanese;Kinji Akagawa
93;Japanese;Ryoji Akiyama
94;Kuwaiti;Munira Al-Kazi
95;German;Alastair 
96;American;Anni Albers
97;American;Josef Albers
98;American;Beatrice Albert
99;American;Joan Albert
100;American;Ivan Le Lorraine Albright
101;Various;Album-miscellaneous
103;American;Albert Alcalay
104;American;L.  Alcopley
105;American;A. Alcorn
106;British;Alan Aldridge
107;Belgian;Pierre Alechinsky
108;American;Peter Alexander
111;Italian;Carlo Alfano
112;American;José R. Alicea
113;Italian;Leopoldo and Guiseppe Alinari
114;American;James Alinder
115;French;Yves Alix
116;Dutch;Wobbe Alkema
117;American;William Allan
118;American;Alexander Alland
119;American;Harry Allen
120;American;Terry Allen
121;British;Adrian Allinson
123;Argentine;Carlos Alonso
124;American;Glen Alps
126;American;Henry Altchek
127;German;Gerhard Altenbourg
128;American;Hobie Alter
129;American;Harold Altman
131;Italian;Giacchino Altobelli
132;American;John Altoon
135;Mexican;Manuel Álvarez Bravo
136;Norwegian;Dag Alveng
137;Italian;Getulio Alviani
138;French;Edmond-François Aman Jean
139;Japanese;Kunihiro Amano
140;American;Jim Amaral
141;Argentine;Emilio Ambasz
142;unknown;M. Ameen
143;American;Irving Amen
144;Dutch;Woody van Amen
145;American;Gregory Amenoff
148;Chilean;Florencia de Amesti
149;Swiss;Cuno Amiet
